created,text,retwc,hashtag,followers,friends
2017-12-06 14:11:18,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,1504,91
2017-12-06 14:11:08,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,47899,2481
2017-12-06 14:10:32,"b'RT @pawanbansal_chd: Despite voting for their own CM as PM of India, Gujaratis got nothing in return except terribly exacting and harassmen\xe2\x80\xa6'",17,None,73,357
2017-12-06 14:09:44,b'RT @ripunbora: We can travel in anything PM Modi. You are selling us the dream of bullet train but under you India will have to move on bul\xe2\x80\xa6',13,None,20,112
2017-12-06 14:08:31,b'RT @myvotetoday: Every @INCIndia leader &amp; #SpokesPidi has been barking that @BJP4India won Assembly elections as people had not understood\xe2\x80\xa6',33,SpokesPidi,748095,138
2017-12-06 14:08:16,b'RT @BJPLive: Congress leaders are in tears on demonetisation because they lost all that they had looted from the poor: PM Shri @narendramod\xe2\x80\xa6',43,None,497,2948
2017-12-06 14:08:10,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,53,31
2017-12-06 14:07:52,b'RT @RealAmitBagaria: Tomorrow @JhaSanjay &amp; other #Pidi chamchas will tweet that #DeMonetisation has led to Indians petting cats with no mon\xe2\x80\xa6',24,Pidi,748095,138
2017-12-06 14:06:14,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,1210,1939
2017-12-06 14:05:40,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,359,645
2017-12-06 14:05:31,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,84,431
2017-12-06 14:05:30,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,522,604
2017-12-06 14:05:03,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,17,240
2017-12-06 14:04:51,"b'RT @faitaccompali: @_etax @AadhaarLaw @AadhaarSecurity Use Of #Aadhaar Was Always The Plan Of Companies Like #PayTM, Reliance, Etc. That Is\xe2\x80\xa6'",10,Aadhaar,2,1
2017-12-06 14:04:38,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,1539,198
2017-12-06 14:04:18,"b'RT @laluprasadrjd: Demonetisation executed on \xe2\x80\x9cNINO, Nothing In- Nothing Out\xe2\x80\x9d method therefore result is \xe2\x80\x9cNothing\xe2\x80\x9d. #BJPMoneyLaunderingDay'",463,BJPMoneyLaunderingDay,115,742
